"","GEOID","COUNTY","STATE","POP","ED_LESSHS","ED_HS","ED_SOMECOLLEGE","ED_BACH","ED_GRAD","HH_INC_TOT","HH_INC_BELOW_10000","HH_INC_10000_TO_14999","HH_INC_15000_TO_19999","HH_INC_20000_TO_24999","HH_INC_25000_TO_29999","HH_INC_30000_TO_34999","HH_INC_35000_TO_39999","HH_INC_40000_TO_44999","HH_INC_45000_TO_49999","HH_INC_50000_TO_59999","HH_INC_60000_TO_74999","HH_INC_75000_TO_99999","HH_INC_100000_TO_124999","HH_INC_125000_TO_149999","HH_INC_150000_TO_199999","HH_INC_ABOVE_200000","HH_INC_MEDIAN","INC_IND_TOT","INC_IND_AG","INC_IND_MN","INC_IND_CN","INC_IND_MF","INC_IND_WHOLESALE","INC_IND_RETAIL","INC_IND_TRANSPORT","INC_IND_UTILITIES","INC_IND_IT","INC_IND_FINANCE","INC_IND_REALESTATE","INC_IND_PROFSERVICES","INC_IND_MNGMNT","INC_IND_ADMIN","INC_IND_ED","INC_IND_HEALTH","INC_IND_ART","INC_IND_ACCOM","INC_IND_OTHER","INC_IND_PUBLIC","EMP_IND_TOT","EMP_IND_AG","EMP_IND_MN","EMP_IND_CN","EMP_IND_MF","EMP_IND_WHOLESALE","EMP_IND_RETAIL","EMP_IND_TRANSPORT","EMP_IND_UTILITIES","EMP_IND_IT","EMP_IND_FINANCE","EMP_IND_REALESTATE","EMP_IND_PROFSERVICES","EMP_IND_MNGMNT","EMP_IND_ADMIN","EMP_IND_ED","EMP_IND_HEALTH","EMP_IND_ART","EMP_IND_ACCOM","EMP_IND_OTHER","EMP_IND_PUBLIC","RACE_WHITE","RACE_BLACK","RACE_NATAMERICAN","RACE_ASIAN","RACE_HAWAII_PACISLAND","RACE_OTHER","ETHN_LATIN","ETHN_NOLATIN","RACE_NOLATIN_WHITE"
"1","01001","Autauga County","Alabama",55639,4273,11880,10986,6320,4401,21559,1331,982,1528,1134,1114,726,903,1062,765,1442,2218,2893,2248,1288,1027,898,57982,36904,12016,9441,45018,48211,48214,24625,44338,70260,25786,43125,47763,39605,NA,27394,40580,31086,15132,15716,27665,57437,24580,88,118,1847,2721,798,2624,1174,217,270,1005,344,1488,0,923,1966,3047,541,1534,1233,2642,43422,11423,447,1048,24,720,1601,54038,41160
"2","01003","Baldwin County","Alabama",218289,14823,42272,48832,31444,18192,84047,4352,4011,2930,3506,3935,4450,3789,4314,3655,6148,7970,11536,7621,5375,4893,5562,61756,37574,34522,67904,38213,54920,53673,25622,50526,63370,48283,47768,33969,56699,NA,31257,41786,44789,15957,15909,22819,51226,98768,1453,323,7922,9608,2700,13434,3885,1200,1090,4170,3334,5764,27,4782,7312,11744,2112,7681,4970,5257,191923,20377,3347,3120,570,4928,9947,208342,180955
"3","01005","Barbour County","Alabama",25026,4497,6361,4872,1296,771,9322,1365,706,972,742,362,515,469,413,279,699,824,680,635,214,206,241,34990,29838,33388,NA,30195,39861,25845,14338,48693,54583,86111,28895,20402,61875,NA,18971,42500,26117,45129,13971,10750,36645,8707,500,0,523,2091,179,930,391,101,68,224,117,175,13,256,706,913,165,406,329,620,11989,12140,315,155,28,1009,1110,23916,11332
"4","01007","Bibb County","Alabama",22374,3056,7206,3911,1183,631,7259,799,512,382,382,377,283,217,322,277,628,778,1129,600,212,204,157,51721,33844,17656,53528,44340,40380,93503,18835,49022,70000,7038,18389,42614,44583,NA,27292,42917,28723,17375,16976,26934,50657,8303,235,157,781,1211,260,898,472,44,119,341,75,231,0,353,629,1233,19,253,515,477,17243,5079,90,67,0,9,600,21774,16650
"5","01009","Blount County","Alabama",57755,6838,13975,13725,3540,1736,21205,2145,968,885,1437,937,1445,961,1122,987,1794,1996,2283,1540,1091,1034,580,48922,36881,37775,63203,36744,41429,48005,22703,34853,69609,41750,43904,33780,52254,NA,35222,45000,37289,4228,13090,22837,50561,22836,305,73,2094,3968,949,2376,1394,342,225,951,416,842,0,866,1652,3201,101,1021,1201,859,55555,1098,796,288,83,1315,5362,52393,50065
"6","01011","Bullock County","Alabama",10173,1700,2809,1578,413,284,3429,625,336,138,271,190,174,80,111,84,441,155,258,388,38,45,95,33866,27979,95313,NA,31220,27165,NA,30438,24351,63783,52625,40893,27361,39779,NA,NA,32342,12459,4000,10789,14727,36273,4007,92,13,293,1563,37,218,77,89,53,40,27,85,0,44,351,214,90,233,135,353,2683,7035,13,192,0,325,824,9349,2162
"7","01013","Butler County","Alabama",19726,1886,6425,3304,1396,809,6649,525,519,488,364,432,244,369,396,340,424,622,622,565,343,222,174,44850,27658,52650,NA,33194,27210,45000,21061,49048,38125,51500,54762,27014,48000,NA,6667,26445,37292,9474,12627,29028,44258,7971,231,0,311,2036,136,808,250,106,76,312,95,134,0,362,625,809,72,738,441,429,10470,8934,159,295,0,191,290,19436,10125
"8","01015","Calhoun County","Alabama",114324,11787,27203,25087,8296,6594,44572,3546,2702,2391,2459,2740,2505,2245,1888,1741,4182,4362,5445,3857,1879,1480,1150,50128,32526,28967,26625,31149,40719,35915,21012,43827,55071,20221,37500,24511,41350,NA,30407,43369,38827,22213,12042,21050,50123,47905,485,141,2487,8659,1260,6315,1568,506,599,1274,547,1593,10,1715,4287,6569,648,3420,2115,3707,86360,25542,1364,1496,493,2138,4406,109918,82049
"9","01017","Chambers County","Alabama",33427,4140,8829,7369,2491,942,13582,819,885,1101,792,1107,1000,693,529,514,1256,1222,1834,814,582,220,214,43875,31815,40341,NA,26842,36059,42762,17550,41974,33558,40882,41305,49118,32460,NA,29022,40822,25202,50625,7500,15043,45602,14724,326,8,614,4469,299,1286,528,248,318,431,200,441,66,642,905,1780,119,860,545,639,19329,13495,177,420,9,315,843,32584,18413
"10","01019","Cherokee County","Alabama",26035,3288,7495,5884,1202,1274,10836,707,561,1010,527,880,731,729,538,253,896,1101,1145,817,209,375,357,42509,35350,41023,NA,30268,39074,53873,25862,44559,70500,33934,39896,26696,60703,NA,22619,47731,35139,16250,9271,28191,50250,10310,338,0,954,2284,126,1071,336,258,69,327,37,271,0,110,769,1644,96,546,518,556,24375,1364,377,30,22,294,432,25603,23779
"11","01021","Chilton County","Alabama",44147,5485,13070,7491,2471,1636,17140,1243,857,1101,966,1379,714,890,742,410,1752,1737,2350,1340,538,720,401,52141,34249,33036,56993,37731,37238,47886,19527,53482,84973,76250,37051,38250,52583,NA,26140,30000,35421,2499,15483,21434,45679,17752,163,230,2626,2578,651,2337,609,553,131,964,323,321,0,694,1054,1819,94,676,1051,878,37487,5042,666,249,46,2126,3423,40724,35283
"12","01023","Choctaw County","Alabama",12755,1603,3346,3062,761,491,5330,474,467,398,458,439,244,419,228,175,241,343,608,480,74,236,46,36634,33859,46141,137361,55455,50266,60050,20114,38438,37781,31111,27794,34219,26771,NA,29828,31513,27083,NA,10818,24625,30170,4427,286,88,336,738,103,652,93,107,34,118,19,41,0,118,481,596,7,264,173,173,7294,5422,29,60,0,11,69,12686,7200
"13","01025","Clarke County","Alabama",23866,2904,6942,4554,1401,902,9323,1439,620,558,588,747,444,379,310,428,529,931,777,520,299,493,261,37345,34838,49000,28750,24613,58603,40071,21525,36365,64375,50139,32234,27421,45833,NA,10688,46178,40189,8750,20646,26054,33839,8166,346,63,768,1682,124,990,301,188,51,172,246,106,0,247,593,1164,64,345,427,289,12783,11085,85,129,0,47,140,23726,12471
"14","01027","Clay County","Alabama",13285,1756,3751,2760,709,395,5153,402,438,282,173,478,319,374,287,140,478,461,463,269,348,99,142,42678,30551,83578,NA,36367,31485,65764,21525,38607,90208,61719,50469,26992,24167,NA,10208,37982,26094,NA,11131,3728,42100,5389,132,0,368,1619,63,746,251,44,31,156,57,104,0,131,362,691,46,199,173,216,11185,2134,23,33,0,33,410,12875,10683
